lot_id,company,product_desc,formulation,dose_mg,ndma_mcg_min,ndma_mcg_max
L01,Apotex,Metformin Hydrochloride ER,ER,500,0.01,0.05
L02,Amneal,Metformin Hydrochloride,IR,500,0,0
L03,Lupin,Metformin Hydrochloride ER,ER,750,0.08,0.12
L04,Marksans,Metformin Hydrochloride ER,ER,500,0.02,0.04
L05,Teva,Metformin Hydrochloride,IR,1000,0,0
L06,Sun,Metformin Hydrochloride ER,ER,500,0.06,0.09
L07,Mylan,Metformin Hydrochloride IR,IR,850,0,0.01
L08,Sandoz,Metformin Hydrochloride ER,ER,1000,0.10,0.15
L09,Pfizer,Metformin Hydrochloride IR,IR,750,0.00,0.00
L10,Torrent,Metformin Hydrochloride ER,ER,500,0.05,0.07
L11,Watson,Metformin Hydrochloride IR,IR,1000,0,0
L12,Cadila,Metformin Hydrochloride ER,ER,850,0.09,0.11
L13,DrReddy,Metformin Hydrochloride ER,ER,1000,0.12,0.18
L14,Hikma,Metformin Hydrochloride IR,IR,500,0,0
L15,Accord,Metformin Hydrochloride ER,ER,750,0.03,0.06
L16,Glenmark,Metformin Hydrochloride IR,IR,850,0.00,0.00
L17,Cipla,Metformin Hydrochloride ER,ER,500,0.07,0.09
L18,Endo,Metformin Hydrochloride IR,IR,1000,0.00,0.00
L19,Hetero,Metformin Hydrochloride ER,ER,850,0.04,0.08
L20,Zydus,Metformin Hydrochloride ER,ER,750,0.01,0.03
L21,Alkem,Metformin Hydrochloride IR,IR,500,0.00,0.00
L22,Aurobindo,Metformin Hydrochloride ER,ER,1000,0.11,0.16
L23,Mac,Metformin Hydrochloride IR,IR,850,0.00,0.00
L24,Teva,Metformin Hydrochloride ER,ER,500,0.06,0.08
L25,Lupin,Metformin Hydrochloride IR,IR,1000,0.00,0.00
L26,Apotex,Metformin Hydrochloride ER,ER,750,0.08,0.13
L27,Amneal,Metformin Hydrochloride IR,IR,500,0.00,0.00
L28,Mylan,Metformin Hydrochloride ER,ER,1000,0.13,0.19
L29,Sandoz,Metformin Hydrochloride IR,IR,850,0.00,0.00
L30,Pfizer,Metformin Hydrochloride ER,ER,500,0.04,0.07
L31,Torrent,Metformin Hydrochloride IR,IR,750,0.00,0.00
L32,Watson,Metformin Hydrochloride ER,ER,1000,0.10,0.14
L33,Cadila,Metformin Hydrochloride IR,IR,500,0.00,0.00
L34,DrReddy,Metformin Hydrochloride ER,ER,850,0.09,0.12
L35,Hikma,Metformin Hydrochloride IR,IR,1000,0.00,0.00
L36,Accord,Metformin Hydrochloride ER,ER,500,0.02,0.05
L37,Glenmark,Metformin Hydrochloride IR,IR,750,0.00,0.00
